Year,Reg,Group,Sex,DrAa0,DrAa1,DrAa5,DrAa10,DrAa15,DrAa20,DrAa25,DrAa30,DrAa35,DrAa40,DrAa45,DrAa50,DrAa55,DrAa60,DrAa65,DrAa70,DrAa75,DrAa80,DrAa85
2015,1168,T,F,3419,203,259,402,536,749,600,1221,1734,2271,3390,4396,6679,10480,16012,28288,48340,87361,170038
2015,1168,U,B,3063,447,208,371,529,888,1758,3016,3969,4891,6441,9647,13279,19164,26398,40948,60283,100744,175057
2015,1168,U,M,3797,552,201,363,535,1306,2912,4542,6572,7345,10534,15804,22172,32682,43528,66243,91544,130861,181131
2015,1168,U,F,2255,335,215,381,523,427,600,1474,1497,2625,2958,4529,6592,10305,15960,28957,47815,90404,173285
2015,1168,R,B,4681,126,366,370,651,1569,2454,3099,5078,5190,7167,9726,14587,21709,27702,41307,61346,99628,168319
2015,1168,R,M,4048,245,404,309,742,1798,3894,5063,7697,8577,10080,15003,22483,35131,44569,70870,94424,142986,177390
2015,1168,R,F,5352,0,326,433,556,1317,599,732,2162,1698,4056,4198,6819,10780,16101,27390,48974,84246,166358
2015,1128,T,B,6606,408,182,389,808,1399,2558,4194,5961,6996,9113,12272,16895,22264,29977,44882,64129,105162,192799
2015,1128,T,M,7693,532,238,361,1034,2048,3722,6044,8375,10484,13466,18888,27817,37202,48263,70977,98744,139506,213897
2015,1128,T,F,5459,279,124,419,568,712,1268,2222,3580,3699,5249,6751,8508,12163,18785,33058,51282,94869,188175
2015,1128,U,B,6273,387,198,438,779,1158,2316,4003,5673,6575,8884,11887,16001,21755,29850,46668,67991,111869,202940
2015,1128,U,M,7887,489,233,424,928,1650,3413,6027,8362,10040,13311,19367,27214,37205,49311,77372,108802,152437,244257
2015,1128,U,F,4559,280,161,452,625,658,1167,1982,3157,3429,5104,6071,7971,11934,18625,33530,54029,100211,193761
2015,1128,R,B,7726,470,130,222,910,2342,3351,4857,6977,8447,9792,13324,19347,23723,30345,40381,54855,91415,169874
2015,1128,R,M,7035,661,255,144,1387,3476,4627,6099,8420,11886,13892,17745,29247,37190,45640,56877,78794,115453,140793
2015,1128,R,F,8436,273,0,305,357,949,1644,3199,5263,4718,5709,8856,10165,12887,19288,31790,44170,83597,175709
2015,1170,T,B,6894,339,298,290,624,1497,2540,4317,5298,6107,8041,11360,15349,21059,28872,39313,60966,100247,178783
2015,1170,T,M,7899,366,290,345,890,2462,3609,6481,8121,9089,12381,17989,25217,35183,48374,64659,91114,130577,203521
2015,1170,T,F,5847,310,306,233,345,489,1381,2038,2510,3255,3999,5736,7955,11689,17689,28252,49928,90835,172825
2015,1170,U,B,6964,262,281,328,498,1223,2475,4357,5222,6000,8387,11336,15036,20750,29474,39433,61347,101522,186632
2015,1170,U,M,8203,281,233,384,665,1991,3579,6728,8126,8912,12865,18188,25768,35201,51252,65380,93024,128862,215238
2015,1170,U,F,5679,243,332,270,324,409,1286,1913,2433,3279,4340,5775,7429,11641,17488,28497,50028,93177,179603
2015,1170,R,B,6687,524,346,184,992,2370,2730,4199,5539,6463,7021,11427,16217,22004,26937,38940,59859,96997,157828
2015,1170,R,M,7007,571,455,237,1538,4007,3697,5779,8104,9643,11034,17470,23842,35124,40039,62599,85945,134550,170917
2015,1170,R,F,6349,476,234,127,409,737,1662,2425,2766,3170,2935,5620,9555,11847,18385,27447,49630,84798,154901
2015,1178,T,B,5916,288,216,277,561,1330,1960,3503,4028,6065,7693,10571,14460,20825,27532,40883,59376,98684,186904
2015,1178,T,M,5903,360,242,336,763,2106,3370,5629,6260,9205,11667,17342,23738,36490,45502,64248,91736,132443,198326
2015,1178,T,F,5931,211,188,214,347,581,568,1389,1860,3122,4133,4982,7619,10764,17042,30499,47503,89010,184398
